CustomerID,BikeBuyer
11000,1
11001,1
11002,1
11003,1
11004,1
11005,1
11006,1
11007,1
11008,1
11009,1
11010,1
11011,1
11012,0
11013,0
11014,1
11015,0
11016,1
11017,0
11018,1
11019,0
11020,0
11021,0
11022,0
11023,0
11024,0
11025,0
11026,0
11027,0
11028,0
11029,0
11030,0
11031,0
11032,0
11033,0
11034,0
11035,0
11036,0
11037,0
11038,0
11039,0
11040,0
11041,0
11042,0
11043,0
11044,0
11045,0
11046,0
11047,0
11048,0
11049,0
11050,0
11051,0
11052,0
11053,0
11054,0
11055,0
11056,0
11057,0
11058,0
11059,1
11060,0
11061,0
11062,0
11063,0
11064,0
11065,0
11066,0
11067,0
11068,1
11069,1
11070,0
11071,1
11072,0
11073,0
11074,0
11075,1
11076,1
11077,1
11078,1
11079,0
11080,0
11081,0
11082,1
11083,0
11084,1
11085,0
11086,0
11087,0
11088,0
11089,1
11090,0
11091,0
11092,0
11093,0
11094,1
11095,1
11096,1
11097,1
11098,0
11099,1
11100,0
11101,0
11102,1
11103,0
11104,1
11105,1
11106,1
11107,0
11108,0
11109,1
11110,1
11111,0
11112,0
11113,1
11114,1
11115,1
11116,1
11117,1
11118,1
11119,0
11120,0
11121,0
11122,1
11123,1
11124,0
11125,0
11126,0
11127,0
11128,0
11129,0
11130,0
11131,0
11132,0
11133,0
11134,0
11135,0
11136,0
11137,0
11138,0
11139,0
11140,0
11141,0
11142,0
11143,0
11144,1
11145,1
11146,0
11147,0
11148,0
11149,0
11150,0
11151,0
11152,1
11153,0
11154,0
11155,0
11156,0
11157,0
11158,0
11159,0
11160,1
11161,0
11162,0
11163,0
11164,1
11165,0
11166,0
11167,0
11168,0
11169,1
11170,0
11171,1
11172,0
11173,1
11174,1
11175,1
11176,0
11177,0
11178,0
11179,0
11180,1
11181,0
11182,0
11183,0
11184,0
11185,0
11186,0
11187,0
11188,0
11189,0
11190,0
11191,0
11192,0
11193,0
11194,0
11195,0
11196,0
11197,0
11198,0
11199,0
11200,1
11201,0
11202,0
11203,0
11204,1
11205,0
11206,0
11207,0
11208,0
11209,0
11210,0
11211,1
11212,0
11213,1
11214,0
11215,0
11216,0
11217,0
11218,0
11219,1
11220,0
11221,0
11222,0
11223,1
11224,0
11225,0
11226,0
11227,0
11228,0
11229,0
11230,0
11231,0
11232,0
11233,0
11234,0
11235,1
11236,0
11237,1
11238,1
11239,0
11240,0
11241,1
11242,1
11243,1
11244,1
11245,1
11246,1
11247,1
11248,0
11249,1
11250,1
11251,0
11252,0
11253,0
11254,0
11256,0
11257,0
11258,0
11259,0
11260,0
11261,0
11262,0
11263,1
11264,1
11265,0
11266,1
11267,1
11268,1
11269,1
11270,1
11271,0
11272,0
18922,0
11274,0
11275,0
11276,1
11277,1
11278,1
11279,0
11279,0
11280,0
11281,1
11282,1
11283,1
11284,1
11285,1
11286,1
11287,1
11288,0
11289,1
11290,1
11291,0
11292,1
11293,1
11294,0
11295,1
11296,0
11297,0
11298,0
11299,0
11300,1
11301,1
11302,1
11303,1
11304,0
11305,1
11306,1
11307,0
11308,1
11309,0
11310,1
11311,0
11312,1
11313,0
11314,1
11315,1
11316,1
11317,1
11318,0
11319,0
11320,0
11321,0
11322,0
11323,0
11324,0
11325,0
11326,0
25878,0
11328,0
11329,0
11330,1
11331,0
11332,1
11333,0
11334,0
11335,0
11336,0
11337,0
11338,0
11339,1
11340,0
11341,0
11342,1
11343,0
11344,0
11345,0
11346,0
11347,0
11348,0
11349,0
11350,0
11351,0
11352,0
11353,1
11354,0
11355,0
11356,0
11357,0
11358,0
11359,0
11360,0
11361,0
11362,0
11363,0
11364,0
11365,1
11366,0
11367,0
11368,0
11369,0
11370,0
11371,0
11372,1
11373,0
11374,0
11375,0
11376,0
11377,0
11378,0
11379,1
11380,0
11381,0
11382,0
11383,1
11384,0
11385,0
11386,0
11387,1
11388,1
11389,0
11390,0
11391,1
11392,0
11393,0
11394,1
11395,0
11396,0
11397,0
11398,0
11399,1
11400,0
11401,0
11402,0
11403,0
11404,0
11405,0
11406,0
11407,0
11408,0
11409,1
11410,0
11411,1
11412,1
11413,0
11414,0
11415,0
11416,0
11417,0
11418,0
11419,0
11420,1
11421,0
11422,1
11423,0
11424,0
11425,0
11426,0
11427,0
11428,1
11429,0
11430,0
11431,0
11432,1
11433,0
11434,1
11435,1
15590,1
11437,0
11438,1
11439,0
11440,0
11441,0
11442,0
11443,1
11444,0
11445,0
11446,0
11447,0
11448,0
11449,0
11450,1
11451,1
11452,0
11453,0
11454,0
